ProductID,StartDate,EndDate,StandardCost,ModifiedDate
707,2011-05-31,2012-05-29,12.0278,2012-05-29
707,2012-05-30,2013-05-29,13.8782,2013-05-29
707,2013-05-30,,13.0863,2013-05-16
708,2011-05-31,2012-05-29,12.0278,2012-05-29
708,2012-05-30,2013-05-29,13.8782,2013-05-29
708,2013-05-30,,13.0863,2013-05-16
709,2011-05-31,2012-05-29,3.3963,2012-05-29
710,2011-05-31,2012-05-29,3.3963,2012-05-29
711,2011-05-31,2012-05-29,12.0278,2012-05-29
711,2012-05-30,2013-05-29,13.8782,2013-05-29
711,2013-05-30,,13.0863,2013-05-16
712,2011-05-31,2012-05-29,5.7052,2012-05-29
712,2012-05-30,2013-05-29,5.2297,2013-05-29
712,2013-05-30,,6.9223,2013-05-16
713,2011-05-31,2012-05-29,31.7244,2012-05-29
713,2012-05-30,2013-05-29,29.0807,2013-05-29
713,2013-05-30,,38.4923,2013-05-16
714,2011-05-31,2012-05-29,31.7244,2012-05-29
714,2012-05-30,2013-05-29,29.0807,2013-05-29
714,2013-05-30,,38.4923,2013-05-16
715,2011-05-31,2012-05-29,31.7244,2012-05-29
715,2012-05-30,2013-05-29,29.0807,2013-05-29
715,2013-05-30,,38.4923,2013-05-16
716,2011-05-31,2012-05-29,31.7244,2012-05-29
716,2012-05-30,2013-05-29,29.0807,2013-05-29
716,2013-05-30,,38.4923,2013-05-16
717,2011-05-31,2012-05-29,747.9682,2012-05-29
717,2012-05-30,2013-05-29,722.2568,2013-05-29
717,2013-05-30,,868.6342,2013-05-16
718,2011-05-31,2012-05-29,747.9682,2012-05-29
718,2012-05-30,2013-05-29,722.2568,2013-05-29
718,2013-05-30,,868.6342,2013-05-16
719,2011-05-31,2012-05-29,747.9682,2012-05-29
719,2012-05-30,2013-05-29,722.2568,2013-05-29
719,2013-05-30,,868.6342,2013-05-16
720,2011-05-31,2012-05-29,747.9682,2012-05-29
720,2012-05-30,2013-05-29,722.2568,2013-05-29
720,2013-05-30,,868.6342,2013-05-16
721,2011-05-31,2012-05-29,747.9682,2012-05-29
721,2012-05-30,2013-05-29,722.2568,2013-05-29
721,2013-05-30,,868.6342,2013-05-16
722,2011-05-31,2012-05-29,176.1997,2012-05-29
722,2012-05-30,2013-05-29,170.1428,2013-05-29
722,2013-05-30,,204.6251,2013-05-16
723,2011-05-31,2012-05-29,176.1997,2012-05-29
723,2012-05-30,2013-05-29,170.1428,2013-05-29
723,2013-05-30,,204.6251,2013-05-16
724,2011-05-31,2012-05-29,176.1997,2012-05-29
724,2012-05-30,2013-05-29,170.1428,2013-05-29
724,2013-05-30,,204.6251,2013-05-16
725,2011-05-31,2012-05-29,181.4857,2012-05-29
725,2012-05-30,2013-05-29,187.1571,2013-05-29
726,2011-05-31,2012-05-29,181.4857,2012-05-29
726,2012-05-30,2013-05-29,187.1571,2013-05-29
727,2011-05-31,2012-05-29,181.4857,2012-05-29
727,2012-05-30,2013-05-29,187.1571,2013-05-29
728,2011-05-31,2012-05-29,181.4857,2012-05-29
728,2012-05-30,2013-05-29,187.1571,2013-05-29
729,2011-05-31,2012-05-29,181.4857,2012-05-29
729,2012-05-30,2013-05-29,187.1571,2013-05-29
730,2011-05-31,2012-05-29,181.4857,2012-05-29
730,2012-05-30,2013-05-29,187.1571,2013-05-29
731,2011-05-31,2012-05-29,352.1394,2012-05-29
732,2011-05-31,2012-05-29,352.1394,2012-05-29
733,2011-05-31,2012-05-29,352.1394,2012-05-29
734,2011-05-31,2012-05-29,352.1394,2012-05-29
735,2011-05-31,2012-05-29,352.1394,2012-05-29
736,2011-05-31,2012-05-29,176.1997,2012-05-29
736,2012-05-30,2013-05-29,170.1428,2013-05-29
736,2013-05-30,,204.6251,2013-05-16
737,2011-05-31,2012-05-29,176.1997,2012-05-29
737,2012-05-30,2013-05-29,170.1428,2013-05-29
737,2013-05-30,,204.6251,2013-05-16
738,2011-05-31,2012-05-29,176.1997,2012-05-29
738,2012-05-30,2013-05-29,170.1428,2013-05-29
738,2013-05-30,,204.6251,2013-05-16
739,2011-05-31,2012-05-29,623.8403,2012-05-29
739,2012-05-30,2013-05-29,660.9142,2013-05-29
739,2013-05-30,,747.2002,2013-05-16
740,2011-05-31,2012-05-29,706.811,2012-05-29
741,2011-05-31,2012-05-29,706.811,2012-05-29
742,2011-05-31,2012-05-29,623.8403,2012-05-29
742,2012-05-30,2013-05-29,660.9142,2013-05-29
742,2013-05-30,,747.2002,2013-05-16
743,2011-05-31,2012-05-29,617.0281,2012-05-29
743,2012-05-30,2013-05-29,653.6971,2013-05-29
743,2013-05-30,,739.041,2013-05-16
744,2011-05-31,2012-05-29,699.0928,2012-05-29
745,2011-05-31,2012-05-29,699.0928,2012-05-29
746,2011-05-31,2012-05-29,617.0281,2012-05-29
746,2012-05-30,2013-05-29,653.6971,2013-05-29
746,2013-05-30,,739.041,2013-05-16
747,2011-05-31,2012-05-29,617.0281,2012-05-29
747,2012-05-30,2013-05-29,653.6971,2013-05-29
747,2013-05-30,,739.041,2013-05-16
748,2011-05-31,2012-05-29,623.8403,2012-05-29
748,2012-05-30,2013-05-29,660.9142,2013-05-29
748,2013-05-30,,747.2002,2013-05-16
749,2011-05-31,2012-05-29,2171.2942,2012-05-29
750,2011-05-31,2012-05-29,2171.2942,2012-05-29
751,2011-05-31,2012-05-29,2171.2942,2012-05-29
752,2011-05-31,2012-05-29,2171.2942,2012-05-29
753,2011-05-31,2012-05-29,2171.2942,2012-05-29
754,2011-05-31,2012-05-29,884.7083,2012-05-29
755,2011-05-31,2012-05-29,884.7083,2012-05-29
756,2011-05-31,2012-05-29,884.7083,2012-05-29
757,2011-05-31,2012-05-29,884.7083,2012-05-29
758,2011-05-31,2012-05-29,884.7083,2012-05-29
759,2011-05-31,2012-05-29,413.1463,2012-05-29
759,2012-05-30,2013-05-29,486.7066,2013-05-29
760,2011-05-31,2012-05-29,413.1463,2012-05-29
760,2012-05-30,2013-05-29,486.7066,2013-05-29
761,2011-05-31,2012-05-29,413.1463,2012-05-29
761,2012-05-30,2013-05-29,486.7066,2013-05-29
762,2011-05-31,2012-05-29,413.1463,2012-05-29
762,2012-05-30,2013-05-29,486.7066,2013-05-29
763,2011-05-31,2012-05-29,413.1463,2012-05-29
763,2012-05-30,2013-05-29,486.7066,2013-05-29
764,2011-05-31,2012-05-29,413.1463,2012-05-29
764,2012-05-30,2013-05-29,486.7066,2013-05-29
765,2011-05-31,2012-05-29,413.1463,2012-05-29
765,2012-05-30,2013-05-29,486.7066,2013-05-29
766,2011-05-31,2012-05-29,413.1463,2012-05-29
766,2012-05-30,2013-05-29,486.7066,2013-05-29
767,2011-05-31,2012-05-29,413.1463,2012-05-29
767,2012-05-30,2013-05-29,486.7066,2013-05-29
768,2011-05-31,2012-05-29,413.1463,2012-05-29
768,2012-05-30,2013-05-29,486.7066,2013-05-29
769,2011-05-31,2012-05-29,413.1463,2012-05-29
769,2012-05-30,2013-05-29,486.7066,2013-05-29
770,2011-05-31,2012-05-29,413.1463,2012-05-29
770,2012-05-30,2013-05-29,486.7066,2013-05-29
771,2011-05-31,2012-05-29,1912.1544,2012-05-29
772,2011-05-31,2012-05-29,1912.1544,2012-05-29
773,2011-05-31,2012-05-29,1912.1544,2012-05-29
774,2011-05-31,2012-05-29,1912.1544,2012-05-29
775,2011-05-31,2012-05-29,1898.0944,2012-05-29
776,2011-05-31,2012-05-29,1898.0944,2012-05-29
777,2011-05-31,2012-05-29,1898.0944,2012-05-29
778,2011-05-31,2012-05-29,1898.0944,2012-05-29
779,2012-05-30,2013-05-29,1117.8559,2013-05-29
779,2013-05-30,,1265.6195,2013-05-16
780,2012-05-30,2013-05-29,1117.8559,2013-05-29
780,2013-05-30,,1265.6195,2013-05-16
781,2012-05-30,2013-05-29,1117.8559,2013-05-29
781,2013-05-30,,1265.6195,2013-05-16
782,2012-05-30,2013-05-29,1105.81,2013-05-29
782,2013-05-30,,1251.9813,2013-05-16
783,2012-05-30,2013-05-29,1105.81,2013-05-29
783,2013-05-30,,1251.9813,2013-05-16
784,2012-05-30,2013-05-29,1105.81,2013-05-29
784,2013-05-30,,1251.9813,2013-05-16
785,2012-05-30,2013-05-29,598.4354,2013-05-29
786,2012-05-30,2013-05-29,598.4354,2013-05-29
787,2012-05-30,2013-05-29,598.4354,2013-05-29
788,2012-05-30,2013-05-29,598.4354,2013-05-29
789,2012-05-30,2013-05-29,1518.7864,2013-05-29
790,2012-05-30,2013-05-29,1518.7864,2013-05-29
791,2012-05-30,2013-05-29,1518.7864,2013-05-29
792,2012-05-30,2013-05-29,1320.6838,2013-05-29
792,2013-05-30,,1554.9479,2013-05-16
793,2012-05-30,2013-05-29,1320.6838,2013-05-29
793,2013-05-30,,1554.9479,2013-05-16
794,2012-05-30,2013-05-29,1320.6838,2013-05-29
794,2013-05-30,,1554.9479,2013-05-16
795,2012-05-30,2013-05-29,1320.6838,2013-05-29
795,2013-05-30,,1554.9479,2013-05-16
796,2012-05-30,2013-05-29,1320.6838,2013-05-29
796,2013-05-30,,1554.9479,2013-05-16
797,2012-05-30,2013-05-29,605.6492,2013-05-29
797,2013-05-30,,713.0798,2013-05-16
798,2012-05-30,2013-05-29,605.6492,2013-05-29
798,2013-05-30,,713.0798,2013-05-16
799,2012-05-30,2013-05-29,605.6492,2013-05-29
799,2013-05-30,,713.0798,2013-05-16
800,2012-05-30,2013-05-29,605.6492,2013-05-29
800,2013-05-30,,713.0798,2013-05-16
801,2012-05-30,2013-05-29,605.6492,2013-05-29
801,2013-05-30,,713.0798,2013-05-16
802,2012-05-30,2013-05-29,65.8097,2013-05-29
803,2012-05-30,2013-05-29,77.9176,2013-05-29
804,2012-05-30,2013-05-29,101.8936,2013-05-29
805,2012-05-30,2013-05-29,15.1848,2013-05-29
806,2012-05-30,2013-05-29,45.4168,2013-05-29
807,2012-05-30,2013-05-29,55.3801,2013-05-29
808,2012-05-30,2013-05-29,17.978,2013-05-29
808,2013-05-30,,19.7758,2013-05-16
809,2012-05-30,2013-05-29,24.9932,2013-05-29
809,2013-05-30,,27.4925,2013-05-16
810,2012-05-30,2013-05-29,48.5453,2013-05-29
810,2013-05-30,,53.3999,2013-05-16
811,2012-05-30,2013-05-29,17.978,2013-05-29
811,2013-05-30,,19.7758,2013-05-16
812,2012-05-30,2013-05-29,24.9932,2013-05-29
812,2013-05-30,,27.4925,2013-05-16
813,2012-05-30,2013-05-29,48.5453,2013-05-29
813,2013-05-30,,53.3999,2013-05-16
814,2012-05-30,2013-05-29,185.8193,2013-05-29
815,2012-05-30,2013-05-29,26.9708,2013-05-29
816,2012-05-30,2013-05-29,92.8071,2013-05-29
817,2012-05-30,2013-05-29,133.2955,2013-05-29
818,2012-05-30,2013-05-29,37.9909,2013-05-29
819,2012-05-30,2013-05-29,110.2829,2013-05-29
820,2012-05-30,2013-05-29,146.5466,2013-05-29
821,2012-05-30,2013-05-29,96.7964,2013-05-29
822,2012-05-30,2013-05-29,300.1188,2013-05-29
822,2013-05-30,,360.9428,2013-05-16
823,2012-05-30,2013-05-29,38.9588,2013-05-29
824,2012-05-30,2013-05-29,104.7951,2013-05-29
825,2012-05-30,2013-05-29,145.2835,2013-05-29
826,2012-05-30,2013-05-29,49.9789,2013-05-29
827,2012-05-30,2013-05-29,122.2709,2013-05-29
828,2012-05-30,2013-05-29,158.5346,2013-05-29
829,2012-05-30,2013-05-29,108.7844,2013-05-29
830,2012-05-30,2013-05-29,185.8193,2013-05-29
831,2012-05-30,2013-05-29,185.8193,2013-05-29
832,2012-05-30,2013-05-29,185.8193,2013-05-29
833,2012-05-30,2013-05-29,300.1188,2013-05-29
833,2013-05-30,,360.9428,2013-05-16
834,2012-05-30,2013-05-29,300.1188,2013-05-29
834,2013-05-30,,360.9428,2013-05-16
835,2012-05-30,2013-05-29,300.1188,2013-05-29
835,2013-05-30,,360.9428,2013-05-16
836,2012-05-30,2013-05-29,300.1188,2013-05-29
836,2013-05-30,,360.9428,2013-05-16
837,2012-05-30,2013-05-29,722.2568,2013-05-29
837,2013-05-30,,868.6342,2013-05-16
838,2012-05-30,2013-05-29,722.2568,2013-05-29
838,2013-05-30,,868.6342,2013-05-16
839,2012-05-30,2013-05-29,722.2568,2013-05-29
839,2013-05-30,,868.6342,2013-05-16
840,2012-05-30,2013-05-29,722.2568,2013-05-29
840,2013-05-30,,868.6342,2013-05-16
841,2012-05-30,2013-05-29,24.7459,2013-05-29
842,2012-05-30,2013-05-29,51.5625,2013-05-29
843,2012-05-30,2013-05-29,10.3125,2013-05-29
844,2012-05-30,2013-05-29,8.2459,2013-05-29
845,2012-05-30,2013-05-29,10.3084,2013-05-29
846,2012-05-30,2013-05-29,5.7709,2013-05-29
847,2012-05-30,2013-05-29,14.4334,2013-05-29
848,2012-05-30,2013-05-29,18.5584,2013-05-29
849,2012-05-30,2013-05-29,24.7459,2013-05-29
850,2012-05-30,2013-05-29,24.7459,2013-05-29
851,2012-05-30,2013-05-29,24.7459,2013-05-29
852,2012-05-30,2013-05-29,30.9334,2013-05-29
853,2012-05-30,2013-05-29,30.9334,2013-05-29
854,2012-05-30,2013-05-29,30.9334,2013-05-29
855,2012-05-30,2013-05-29,37.1209,2013-05-29
856,2012-05-30,2013-05-29,37.1209,2013-05-29
857,2012-05-30,2013-05-29,37.1209,2013-05-29
858,2012-05-30,2013-05-29,9.7136,2013-05-29
858,2013-05-30,,9.1593,2013-05-16
859,2012-05-30,2013-05-29,9.7136,2013-05-29
859,2013-05-30,,9.1593,2013-05-16
860,2012-05-30,2013-05-29,9.7136,2013-05-29
860,2013-05-30,,9.1593,2013-05-16
861,2012-05-30,2013-05-29,15.6709,2013-05-29
862,2012-05-30,2013-05-29,15.6709,2013-05-29
863,2012-05-30,2013-05-29,15.6709,2013-05-29
864,2013-05-30,,23.749,2013-05-16
865,2013-05-30,,23.749,2013-05-16
866,2013-05-30,,23.749,2013-05-16
867,2013-05-30,,26.1763,2013-05-16
868,2013-05-30,,26.1763,2013-05-16
869,2013-05-30,,26.1763,2013-05-16
870,2013-05-30,,1.8663,2013-05-16
871,2013-05-30,,3.7363,2013-05-16
872,2013-05-30,,3.3623,2013-05-16
873,2013-05-30,,0.8565,2013-05-16
874,2013-05-30,,3.3623,2013-05-16
875,2013-05-30,,3.3623,2013-05-16
876,2013-05-30,,44.88,2013-05-16
877,2013-05-30,,2.9733,2013-05-16
878,2013-05-30,,8.2205,2013-05-16
879,2013-05-30,,59.466,2013-05-16
880,2013-05-30,,20.5663,2013-05-16
881,2013-05-30,,41.5723,2013-05-16
882,2013-05-30,,41.5723,2013-05-16
883,2013-05-30,,41.5723,2013-05-16
884,2013-05-30,,41.5723,2013-05-16
885,2013-05-30,,601.7437,2013-05-16
886,2013-05-30,,199.8519,2013-05-16
887,2013-05-30,,601.7437,2013-05-16
888,2013-05-30,,601.7437,2013-05-16
889,2013-05-30,,601.7437,2013-05-16
890,2013-05-30,,601.7437,2013-05-16
891,2013-05-30,,601.7437,2013-05-16
892,2013-05-30,,601.7437,2013-05-16
893,2013-05-30,,601.7437,2013-05-16
894,2013-05-30,,53.9282,2013-05-16
895,2013-05-30,,199.8519,2013-05-16
896,2013-05-30,,199.8519,2013-05-16
897,2013-05-30,,199.8519,2013-05-16
898,2013-05-30,,199.8519,2013-05-16
899,2013-05-30,,199.8519,2013-05-16
900,2013-05-30,,199.8519,2013-05-16
901,2013-05-30,,199.8519,2013-05-16
902,2013-05-30,,199.8519,2013-05-16
903,2013-05-30,,199.8519,2013-05-16
904,2013-05-30,,199.3757,2013-05-16
905,2013-05-30,,199.3757,2013-05-16
906,2013-05-30,,199.3757,2013-05-16
907,2013-05-30,,47.286,2013-05-16
908,2013-05-30,,12.0413,2013-05-16
909,2013-05-30,,17.3782,2013-05-16
910,2013-05-30,,23.3722,2013-05-16
911,2013-05-30,,12.0413,2013-05-16
912,2013-05-30,,17.3782,2013-05-16
913,2013-05-30,,23.3722,2013-05-16
914,2013-05-30,,12.0413,2013-05-16
915,2013-05-30,,17.3782,2013-05-16
916,2013-05-30,,23.3722,2013-05-16
917,2013-05-30,,144.5938,2013-05-16
918,2013-05-30,,144.5938,2013-05-16
919,2013-05-30,,144.5938,2013-05-16
920,2013-05-30,,144.5938,2013-05-16
921,2013-05-30,,1.8663,2013-05-16
922,2013-05-30,,1.4923,2013-05-16
923,2013-05-30,,1.8663,2013-05-16
924,2013-05-30,,136.785,2013-05-16
925,2013-05-30,,136.785,2013-05-16
926,2013-05-30,,136.785,2013-05-16
927,2013-05-30,,136.785,2013-05-16
928,2013-05-30,,9.3463,2013-05-16
929,2013-05-30,,11.2163,2013-05-16
930,2013-05-30,,13.09,2013-05-16
931,2013-05-30,,8.0373,2013-05-16
932,2013-05-30,,9.3463,2013-05-16
933,2013-05-30,,12.1924,2013-05-16
934,2013-05-30,,10.8423,2013-05-16
935,2013-05-30,,17.9776,2013-05-16
936,2013-05-30,,27.568,2013-05-16
937,2013-05-30,,35.9596,2013-05-16
938,2013-05-30,,17.9776,2013-05-16
939,2013-05-30,,27.568,2013-05-16
940,2013-05-30,,35.9596,2013-05-16
941,2013-05-30,,35.9596,2013-05-16
942,2013-05-30,,199.3757,2013-05-16
943,2013-05-30,,136.785,2013-05-16
944,2013-05-30,,144.5938,2013-05-16
945,2013-05-30,,40.6216,2013-05-16
946,2013-05-30,,20.464,2013-05-16
947,2013-05-30,,40.6571,2013-05-16
948,2013-05-30,,47.286,2013-05-16
949,2013-05-30,,77.9176,2013-05-16
950,2013-05-30,,113.8816,2013-05-16
951,2013-05-30,,179.8156,2013-05-16
952,2013-05-30,,8.9866,2013-05-16
953,2013-05-30,,755.1508,2013-05-16
954,2013-05-30,,1481.9379,2013-05-16
955,2013-05-30,,1481.9379,2013-05-16
956,2013-05-30,,1481.9379,2013-05-16
957,2013-05-30,,1481.9379,2013-05-16
958,2013-05-30,,461.4448,2013-05-16
959,2013-05-30,,461.4448,2013-05-16
960,2013-05-30,,461.4448,2013-05-16
961,2013-05-30,,461.4448,2013-05-16
962,2013-05-30,,461.4448,2013-05-16
963,2013-05-30,,461.4448,2013-05-16
964,2013-05-30,,461.4448,2013-05-16
965,2013-05-30,,461.4448,2013-05-16
966,2013-05-30,,1481.9379,2013-05-16
967,2013-05-30,,1481.9379,2013-05-16
968,2013-05-30,,1481.9379,2013-05-16
969,2013-05-30,,1481.9379,2013-05-16
970,2013-05-30,,755.1508,2013-05-16
971,2013-05-30,,755.1508,2013-05-16
972,2013-05-30,,755.1508,2013-05-16
973,2013-05-30,,1082.51,2013-05-16
974,2013-05-30,,1082.51,2013-05-16
975,2013-05-30,,1082.51,2013-05-16
976,2013-05-30,,1082.51,2013-05-16
977,2013-05-30,,343.6496,2013-05-16
978,2013-05-30,,461.4448,2013-05-16
979,2013-05-30,,461.4448,2013-05-16
980,2013-05-30,,419.7784,2013-05-16
981,2013-05-30,,419.7784,2013-05-16
982,2013-05-30,,419.7784,2013-05-16
983,2013-05-30,,419.7784,2013-05-16
984,2013-05-30,,308.2179,2013-05-16
985,2013-05-30,,308.2179,2013-05-16
986,2013-05-30,,308.2179,2013-05-16
987,2013-05-30,,308.2179,2013-05-16
988,2013-05-30,,308.2179,2013-05-16
989,2013-05-30,,294.5797,2013-05-16
990,2013-05-30,,294.5797,2013-05-16
991,2013-05-30,,294.5797,2013-05-16
992,2013-05-30,,294.5797,2013-05-16
993,2013-05-30,,294.5797,2013-05-16
994,2013-05-30,,23.9716,2013-05-16
995,2013-05-30,,44.9506,2013-05-16
996,2013-05-30,,53.9416,2013-05-16
997,2013-05-30,,343.6496,2013-05-16
998,2013-05-30,,343.6496,2013-05-16
999,2013-05-30,,343.6496,2013-05-16
